Python 2.6.5 (r265:79096, Mar 19 2010, 21:48:26) [MSC v.1500 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.

    ****************************************************************
    Personal firewall software may warn about the connection IDLE
    makes to its subprocess using this computer's internal loopback
    interface.  This connection is not visible on any external
    interface and no data is sent to or received from the Internet.
    ****************************************************************
    
IDLE 2.6.5      
>>> ================================ RESTART ================================
>>> 

Warning (from warnings module):
  File "C:\Python26\ArcGIS10.0\lib\site-packages\MySQLdb\__init__.py", line 34
    from sets import ImmutableSet
DeprecationWarning: the sets module is deprecated
baidu:(116.339092081,39.8559590865)---->origin:(116.3263493,39.8489737126)
baidu:(116.258931847,39.8819574173)---->origin:(116.246402357,39.8746926583)
baidu:(116.293594256,39.8487371595)---->origin:(116.281166612,39.8411803718)
baidu:(116.4225674,39.8448992233)---->origin:(116.409915476,39.8372676882)
baidu:(116.300271183,39.8735216107)---->origin:(116.287794013,39.866012761)
baidu:(116.432757268,39.8721652695)---->origin:(116.420033748,39.8646957839)
baidu:(116.2897615,39.8642076706)---->origin:(116.277329979,39.856631013)
baidu:(116.432015627,39.8715673908)---->origin:(116.419296076,39.8640841682)
baidu:(116.274734735,39.8876259324)---->origin:(116.262290464,39.8801183906)
baidu:(116.354703903,39.87762115)---->origin:(116.341915507,39.8705960701)
baidu:(116.392922302,39.8610430297)---->origin:(116.380273986,39.8533829633)
baidu:(116.203662826,39.856927769)---->origin:(116.190991741,39.8497817442)
baidu:(116.326225515,39.8537235301)---->origin:(116.313566038,39.8466101609)
baidu:(116.197205611,39.8149103901)---->origin:(116.184591142,39.8076510085)
baidu:(116.263037336,39.8958569143)---->origin:(116.250541,39.8885217353)
baidu:(116.28735691,39.899720601)---->origin:(116.274934382,39.8921429249)
baidu:(116.411198492,39.8424938668)---->origin:(116.398583516,39.8347565234)
baidu:(116.340948618,39.8554924796)---->origin:(116.328198198,39.8485150142)
baidu:(116.434484821,39.8494397667)---->origin:(116.421770575,39.8420094325)
baidu:(116.374339789,39.8606086071)---->origin:(116.361614595,39.8532752504)
baidu:(116.432757268,39.8721652695)---->origin:(116.420033748,39.8646957839)
baidu:(116.328194157,39.8743002004)---->origin:(116.315506008,39.8672086256)
baidu:(116.324457075,39.8865683503)---->origin:(116.311798505,39.8794245497)
baidu:(116.387637036,39.8570205849)---->origin:(116.374973763,39.8494394216)
baidu:(116.16279873,39.815934933)---->origin:(116.150210527,39.8082578552)
baidu:(116.393634713,39.868767746)---->origin:(116.380983371,39.8610968674)
baidu:(116.434158136,39.864864141)---->origin:(116.421431171,39.8574224241)
baidu:(116.316346649,39.8574486336)---->origin:(116.30376304,39.8501783878)
baidu:(116.310996012,39.8764023891)---->origin:(116.298444916,39.8690406375)
baidu:(116.295956053,39.8557302073)---->origin:(116.283511901,39.8481861178)
baidu:(116.28623712,39.8790232509)---->origin:(116.273805661,39.8714429924)
baidu:(116.398894544,39.8676393346)---->origin:(116.386255796,39.8599155907)
baidu:(116.436677362,39.8713924013)---->origin:(116.423934283,39.8639976511)
baidu:(116.407878886,39.8443574543)---->origin:(116.395265891,39.8366105801)
baidu:(116.300271183,39.8735216107)---->origin:(116.287794013,39.866012761)
baidu:(116.28623712,39.8790232509)---->origin:(116.273805661,39.8714429924)
baidu:(116.445240164,39.8730702415)---->origin:(116.432457769,39.8658361235)
baidu:(116.293632181,39.8392716875)---->origin:(116.281214771,39.8317188652)
baidu:(116.290072344,39.8737518528)---->origin:(116.277635639,39.866174217)
baidu:(116.321071938,39.8508134908)---->origin:(116.308456326,39.8436230821)
